"column","auc","dataset"
"AlphaMissense_rankscore",0.912072984016461,"exovar_filtered"
"CADD_raw_rankscore",0.87532543240485,"exovar_filtered"
"DEOGEN2_rankscore",0.950986714129238,"exovar_filtered"
"MetaRNN_rankscore",0.98846611510811,"exovar_filtered"
"MutPred2_rankscore",0.917091005673408,"exovar_filtered"
"MutScore_rankscore",0.94230537097707,"exovar_filtered"
"PrimateAI_rankscore",0.839360983923365,"exovar_filtered"
"REVEL_rankscore",0.972522109303785,"exovar_filtered"
"SIFT4G_converted_rankscore",0.798169253849309,"exovar_filtered"
"SIFT_converted_rankscore",0.819592975119706,"exovar_filtered"
