"column","threshold","n","accuracy","sensitivity","specificity","precision","f1","mcc","auc"
"MetaRNN_rankscore",0.4,8709,0.957744861637387,0.93221659524737,0.994405594405594,0.995838535164378,0.962977867203219,0.916595017883162,0.98846611510811
"REVEL_rankscore",0.7,8443,0.919696790240436,0.941484013673839,0.888472622478386,0.923653580587887,0.932483569010157,0.833672899728225,0.972522109303785
"DEOGEN2_rankscore",0.7,8387,0.878860140693931,0.893051359516616,0.858270017533606,0.901402724130921,0.897207608255767,0.749803423745109,0.950986714129238
"MutScore_rankscore",0.7,8753,0.876042499714384,0.866381821712954,0.88984461709212,0.918279127212845,0.891575896872189,0.7488989258977,0.94230537097707
"MutPred2_rankscore",0.6,8728,0.846471127406049,0.851592851592852,0.839106145251397,0.883870967741936,0.867431737237831,0.68588818585895,0.917091005673408
"AlphaMissense_rankscore",0.6,8731,0.835414041919597,0.803307392996109,0.881370091896408,0.906476399560922,0.851779267663744,0.674451730107165,0.912072984016461
"CADD_raw_rankscore",0.5,8784,0.811247723132969,0.848543689320388,0.758392955421024,0.832698170731707,0.840546258895941,0.60951780156725,0.87532543240485
"PrimateAI_rankscore",0.4,8623,0.781862460860489,0.829820452771272,0.711631894827093,0.808211366660331,0.818873375060183,0.545134624542992,0.839360983923365
"SIFT_converted_rankscore",0.6,8315,0.756704750450992,0.741732602962061,0.778499704666273,0.829777576032683,0.783288698446706,0.51211220190426,0.819592975119706
"SIFT4G_converted_rankscore",0.6,8410,0.73769322235434,0.722479372107064,0.759662888695147,0.812768847634141,0.764969102919241,0.474721258115716,0.798169253849309
