"column","auc","dataset"
"AlphaMissense_rankscore",0.932787777731723,"humvar"
"CADD_raw_rankscore",0.912004554727091,"humvar"
"DEOGEN2_rankscore",0.966529982152603,"humvar"
"MetaRNN_rankscore",0.98960414750776,"humvar"
"MutPred2_rankscore",0.936065506846426,"humvar"
"MutScore_rankscore",0.955800637453018,"humvar"
"PrimateAI_rankscore",0.881939255031355,"humvar"
"REVEL_rankscore",0.983194080977006,"humvar"
"SIFT4G_converted_rankscore",0.858466112231985,"humvar"
"SIFT_converted_rankscore",0.878779409224845,"humvar"
