"column","threshold","n","accuracy","sensitivity","specificity","precision","f1","mcc","auc"
"MetaRNN_rankscore",0.4,39600,0.949722222222222,0.934856378148449,0.966375756277775,0.968892411333465,0.951570139378755,0.899954216640604,0.98960414750776
"REVEL_rankscore",0.7,38476,0.942431645701216,0.93541564190851,0.950292075388515,0.954716602239068,0.944967576834207,0.884834243478642,0.983194080977006
"DEOGEN2_rankscore",0.7,38421,0.903906717680435,0.902856013440063,0.905076170048947,0.913691369136914,0.908241375882294,0.807454418528678,0.966529982152603
"MutScore_rankscore",0.7,39763,0.897744133993914,0.864177540718164,0.935305089261924,0.937293388429752,0.899251697309084,0.798495717467591,0.955800637453018
"AlphaMissense_rankscore",0.5,39738,0.86796013890986,0.857040675218158,0.880161986465605,0.888784492137276,0.872623989512781,0.736184100970695,0.932787777731723
"MutPred2_rankscore",0.6,39779,0.864576786746776,0.839004425831628,0.893211126505382,0.89793215850056,0.867468693876547,0.73110677118914,0.936065506846426
"CADD_raw_rankscore",0.5,39938,0.84648705493515,0.845506419400856,0.847577744869896,0.860523641291197,0.852948936272276,0.692523520383252,0.912004554727091
"PrimateAI_rankscore",0.4,39177,0.811598642060393,0.827425998658875,0.793540630635554,0.820548140407543,0.823972717082827,0.621358673585072,0.881939255031355
"SIFT_converted_rankscore",0.5,37881,0.805575354399303,0.80468866656712,0.806576728499157,0.824510403916769,0.814478954129827,0.610515908241661,0.878779409224845
"SIFT4G_converted_rankscore",0.5,38122,0.789360474266828,0.80334107645925,0.773547990385153,0.800492489534597,0.801914253293206,0.577027743056061,0.858466112231985
