"column","auc","dataset"
"AlphaMissense_rankscore",0.839128466532403,"predictSNP"
"CADD_raw_rankscore",0.798767137472203,"predictSNP"
"DEOGEN2_rankscore",0.93275562333719,"predictSNP"
"MetaRNN_rankscore",0.94768917201924,"predictSNP"
"MutPred2_rankscore",0.846739554576015,"predictSNP"
"MutScore_rankscore",0.903313964751043,"predictSNP"
"PrimateAI_rankscore",0.749291337505983,"predictSNP"
"REVEL_rankscore",0.960400395743442,"predictSNP"
"SIFT4G_converted_rankscore",0.773136260780509,"predictSNP"
"SIFT_converted_rankscore",0.788952585482644,"predictSNP"
