"column","auc","dataset"
"AlphaMissense_rankscore",0.764006511456921,"swissvar"
"CADD_raw_rankscore",0.753286277088339,"swissvar"
"DEOGEN2_rankscore",0.7616504981706,"swissvar"
"MetaRNN_rankscore",0.843062848806583,"swissvar"
"MutPred2_rankscore",0.739810928400991,"swissvar"
"MutScore_rankscore",0.762296007913881,"swissvar"
"PrimateAI_rankscore",0.728304249613883,"swissvar"
"REVEL_rankscore",0.788812209298241,"swissvar"
"SIFT4G_converted_rankscore",0.691426486473306,"swissvar"
"SIFT_converted_rankscore",0.703438814059242,"swissvar"
