"column","threshold","n","accuracy","sensitivity","specificity","precision","f1","mcc","auc"
"MetaRNN_rankscore",0.6,11880,0.76026936026936,0.676919571656414,0.809104258443465,0.675073846852988,0.675995449374289,0.485749991443447,0.843062848806583
"REVEL_rankscore",0.6,11576,0.713199723565999,0.732250580046404,0.701899256812552,0.593010146561443,0.65531561461794,0.421123619626304,0.788812209298241
"AlphaMissense_rankscore",0.6,11832,0.725490196078431,0.615314494074749,0.790435249865664,0.633802816901408,0.624421831637373,0.408304948942039,0.764006511456921
"MutScore_rankscore",0.6,11902,0.699714333725424,0.681333635745067,0.710529827839317,0.580707519814421,0.627008975161762,0.381756275678465,0.762296007913881
"DEOGEN2_rankscore",0.6,11503,0.667564983047901,0.742268041237113,0.623496890117484,0.537678207739308,0.623622047244094,0.353493989399827,0.7616504981706
"CADD_raw_rankscore",0.6,11974,0.702438617003508,0.661615019226419,0.726333907056799,0.5859375,0.621480930627855,0.379723384788777,0.753286277088339
"MutPred2_rankscore",0.6,11891,0.694390715667311,0.644363801315491,0.723870622828121,0.578968820052986,0.609918419922714,0.36127935325623,0.739810928400991
"PrimateAI_rankscore",0.6,11500,0.695217391304348,0.570117053018132,0.77152456950861,0.603498542274053,0.586333057948779,0.345717491976288,0.728304249613883
"SIFT_converted_rankscore",0.6,11449,0.678312516376976,0.577211043518952,0.738536585365854,0.568040524982731,0.572589068121156,0.314746415805845,0.703438814059242
"SIFT4G_converted_rankscore",0.6,11387,0.665759199086678,0.572737955346651,0.721256309590578,0.550734463276836,0.561520737327189,0.291790172671819,0.691426486473306
