"column","threshold","n","accuracy","sensitivity","specificity","precision","f1","mcc","auc"
"SIFT_converted_rankscore",0.4,11449,0.619093370600052,0.730697239120262,0.552613240418118,0.493131217432496,0.588856415574621,0.275626416593491,0.703438814059242
"SIFT_converted_rankscore",0.5,11449,0.65341951262119,0.657931679925129,0.650731707317073,0.528770214366303,0.586321934945788,0.299346031404336,0.703438814059242
"SIFT_converted_rankscore",0.6,11449,0.678312516376976,0.577211043518952,0.738536585365854,0.568040524982731,0.572589068121156,0.314746415805845,0.703438814059242
"SIFT_converted_rankscore",0.7,11449,0.689405188226046,0.474496958352831,0.817421602787456,0.607549430796884,0.532842879663689,0.310677323105612,0.703438814059242
"SIFT_converted_rankscore",0.8,11449,0.673421259498646,0.299251286850725,0.896306620209059,0.632229362333169,0.406225186596792,0.247994433733215,0.703438814059242
"SIFT_converted_rankscore",0.9,11449,0.673421259498646,0.299251286850725,0.896306620209059,0.632229362333169,0.406225186596792,0.247994433733215,0.703438814059242
"SIFT4G_converted_rankscore",0.4,11387,0.610432949855098,0.740305522914219,0.532950084127874,0.486036105539269,0.586810730253353,0.26695603850313,0.691426486473306
"SIFT4G_converted_rankscore",0.5,11387,0.640994116097304,0.662984723854289,0.627874369040942,0.515251141552511,0.579856115107914,0.281629938515733,0.691426486473306
"SIFT4G_converted_rankscore",0.6,11387,0.665759199086678,0.572737955346651,0.721256309590578,0.550734463276836,0.561520737327189,0.291790172671819,0.691426486473306
"SIFT4G_converted_rankscore",0.7,11387,0.676297532273645,0.467920094007051,0.800616937745373,0.583357749780252,0.519300991131977,0.283565488608941,0.691426486473306
"SIFT4G_converted_rankscore",0.8,11387,0.668130324053746,0.315158636897767,0.878715647784633,0.607887579329102,0.415106020739824,0.237316486630302,0.691426486473306
"SIFT4G_converted_rankscore",0.9,11387,0.657855449196452,0.227497062279671,0.914610207515423,0.613823715916297,0.331961591220851,0.199031306956575,0.691426486473306
"MetaRNN_rankscore",0.4,11880,0.737878787878788,0.794258373205742,0.704845814977974,0.611901000526593,0.691255205234979,0.482193298413582,0.843062848806583
"MetaRNN_rankscore",0.5,11880,0.751851851851852,0.740031897926635,0.758777199305834,0.642532146389713,0.687844133841593,0.486939658281913,0.843062848806583
"MetaRNN_rankscore",0.6,11880,0.76026936026936,0.676919571656414,0.809104258443465,0.675073846852988,0.675995449374289,0.485749991443447,0.843062848806583
"MetaRNN_rankscore",0.7,11880,0.767003367003367,0.601503759398496,0.863970097450274,0.721508608909538,0.656063618290258,0.486636247006883,0.843062848806583
"MetaRNN_rankscore",0.8,11880,0.766245791245791,0.504670767828663,0.919503404084902,0.786018452803407,0.614680172054947,0.481298364961676,0.843062848806583
"MetaRNN_rankscore",0.9,11880,0.739309764309764,0.344953292321713,0.97036443732479,0.872119815668203,0.494367346938775,0.430845537577149,0.843062848806583
"REVEL_rankscore",0.4,11576,0.623704215618521,0.852668213457077,0.487888797137352,0.496890210924824,0.627883136852896,0.342759550537538,0.788812209298241
"REVEL_rankscore",0.5,11576,0.674153420870767,0.80092807424594,0.598954032480044,0.542255733584668,0.646684151367553,0.388567188072056,0.788812209298241
"REVEL_rankscore",0.6,11576,0.713199723565999,0.732250580046404,0.701899256812552,0.593010146561443,0.65531561461794,0.421123619626304,0.788812209298241
"REVEL_rankscore",0.7,11576,0.742138908085694,0.660788863109049,0.790393614093036,0.651567147105925,0.656145605345006,0.449915712530366,0.788812209298241
"REVEL_rankscore",0.8,11576,0.752850725639254,0.553132250580046,0.871318469584366,0.718288641156975,0.624983615152707,0.453731403062776,0.788812209298241
"REVEL_rankscore",0.9,11576,0.744384934346925,0.403480278422274,0.946600605560143,0.81758345086977,0.54031381078142,0.436996601346099,0.788812209298241
"MutPred2_rankscore",0.4,11891,0.624421831637373,0.789521433431617,0.527131782945736,0.495939592534549,0.609205460273014,0.311007988237196,0.739810928400991
"MutPred2_rankscore",0.5,11891,0.662265579009335,0.721251984577002,0.627506014434643,0.532931121166415,0.612952968388589,0.33691281840357,0.739810928400991
"MutPred2_rankscore",0.6,11891,0.694390715667311,0.644363801315491,0.723870622828121,0.578968820052986,0.609918419922714,0.36127935325623,0.739810928400991
"MutPred2_rankscore",0.7,11891,0.711041964510975,0.549104105239283,0.806468858593959,0.625743086068752,0.584923894660546,0.366578457474236,0.739810928400991
"MutPred2_rankscore",0.8,11891,0.714910436464553,0.438194601950556,0.877973803795776,0.67908611599297,0.532671629445823,0.357954596536727,0.739810928400991
"MutPred2_rankscore",0.9,11891,0.691110924228408,0.266273531413019,0.941459502806736,0.728287841191067,0.389968443780103,0.293107218518097,0.739810928400991
"PrimateAI_rankscore",0.4,11500,0.648173913043478,0.741335781501033,0.591348173036539,0.525288664823549,0.614886731391586,0.323553601403793,0.728304249613883
"PrimateAI_rankscore",0.5,11500,0.679391304347826,0.663070920358044,0.689346213075739,0.565583398590446,0.610459587955626,0.344070383793493,0.728304249613883
"PrimateAI_rankscore",0.6,11500,0.695217391304348,0.570117053018132,0.77152456950861,0.603498542274053,0.586333057948779,0.345717491976288,0.728304249613883
"PrimateAI_rankscore",0.7,11500,0.694869565217391,0.456506770713794,0.840263194736105,0.635463258785942,0.531320956324295,0.323458935828899,0.728304249613883
"PrimateAI_rankscore",0.8,11500,0.689652173913043,0.336240532476475,0.905221895562089,0.683940242763772,0.450838590552393,0.300872444626875,0.728304249613883
"PrimateAI_rankscore",0.9,11500,0.670347826086957,0.200826256598577,0.956740865182696,0.73902027027027,0.315827467966071,0.251517489262834,0.728304249613883
"DEOGEN2_rankscore",0.4,11503,0.581326610449448,0.869493908153702,0.411333794056669,0.465621079046424,0.606471645693741,0.294083352203365,0.7616504981706
"DEOGEN2_rankscore",0.5,11503,0.627575415109102,0.809512652296157,0.520248790601244,0.498844932139763,0.617294979453279,0.325461519717648,0.7616504981706
"DEOGEN2_rankscore",0.6,11503,0.667564983047901,0.742268041237113,0.623496890117484,0.537678207739308,0.623622047244094,0.353493989399827,0.7616504981706
"DEOGEN2_rankscore",0.7,11503,0.7039033295662,0.664245548266167,0.727297857636489,0.589642262895175,0.624724548259145,0.383489844215219,0.7616504981706
"DEOGEN2_rankscore",0.8,11503,0.723811179692254,0.553655107778819,0.82418797512094,0.650068775790922,0.598000759205365,0.392607476741931,0.7616504981706
"DEOGEN2_rankscore",0.9,11503,0.727636268799444,0.414011246485473,0.912646855563234,0.736556898707795,0.530073496325184,0.388412912245634,0.7616504981706
"AlphaMissense_rankscore",0.4,11832,0.673766058147397,0.746809480401094,0.630709296077378,0.543810155990707,0.629345112348761,0.364772398710872,0.764006511456921
"AlphaMissense_rankscore",0.5,11832,0.704445571331981,0.689608021877849,0.7131918323482,0.58632048052703,0.633783642266206,0.392340730651949,0.764006511456921
"AlphaMissense_rankscore",0.6,11832,0.725490196078431,0.615314494074749,0.790435249865664,0.633802816901408,0.624421831637373,0.408304948942039,0.764006511456921
"AlphaMissense_rankscore",0.7,11832,0.736223799864773,0.528030993618961,0.858946802794197,0.688149688149688,0.597549967762734,0.414273830077891,0.764006511456921
"AlphaMissense_rankscore",0.8,11832,0.734364435429344,0.419097538742024,0.920204191295003,0.755856966707768,0.539217123588917,0.405518513703643,0.764006511456921
"AlphaMissense_rankscore",0.9,11832,0.702924273157539,0.256381039197812,0.966147232670607,0.816993464052288,0.390286209887251,0.335191269422918,0.764006511456921
"MutScore_rankscore",0.4,11902,0.62611325827592,0.799954638239964,0.523822234085146,0.497110641296688,0.61317802503477,0.318662147248149,0.762296007913881
"MutScore_rankscore",0.5,11902,0.668207024029575,0.747788614198231,0.621379954624316,0.537495924356048,0.625438679692687,0.356728758128237,0.762296007913881
"MutScore_rankscore",0.6,11902,0.699714333725424,0.681333635745067,0.710529827839317,0.580707519814421,0.627008975161762,0.381756275678465,0.762296007913881
"MutScore_rankscore",0.7,11902,0.725004200974626,0.612610569290089,0.791138395836114,0.63314580403188,0.622708933717579,0.406598668837316,0.762296007913881
"MutScore_rankscore",0.8,11902,0.738699378255755,0.522113858017691,0.866141732283465,0.696520423600605,0.596836919885922,0.418655150105246,0.762296007913881
"MutScore_rankscore",0.9,11902,0.734750462107209,0.395781356316625,0.934205258241025,0.779714030384272,0.525048894238002,0.407836168117084,0.762296007913881
"CADD_raw_rankscore",0.4,11974,0.639385334892267,0.802759556661389,0.543757447371905,0.507362401715511,0.621758934828311,0.339296694054639,0.753286277088339
